Point Arng,Extnesion,OrthoNorm,Volume Object Enclosed,Epsilon,Energy
0.707278802,0.0040835,165.6519504,9.92E-05,0.00924,98.8309
0.537190806,0.276696508,95.89438464,8.79E-05,0,105.2097
0,0.153523504,171.0093256,1.63E-16,0.0194,99.1637
0,0.457579516,87.85594092,4.03E-16,0,112.9604
0.720927933,0.055419501,149.2696347,8.79E-05,0,108.085
0.74382813,0.006306,145.8708469,9.73E-05,0.00086,93.5193
0.986777373,0.380415512,89.84656069,0.000217859,0,91.1478
0,1.054594534,133.0391941,2.36E-16,0,63.6434
0,0.002238,159.9984111,2.00E-16,0,93.5735
0,0.547570516,171.9997791,0.045706131,0,91.5921
0.952190728,0.061348502,96.00007991,9.65E-05,0.0362,102.2742
0,0.751005525,179.9951717,5.86E-17,0.00498,83.0878
0,0.750091525,179.9972404,4.79E-16,0.0102,110.1353
0.78704458,0.011409501,153.9999388,6.26E-05,0,94.2184
0.824406681,0.247473509,120.0000452,7.13E-05,3.38E-18,95.4068
0,0.864516528,167.9998608,7.27E-17,0,87.5134
0.797102221,0.230608507,171.9937568,5.71E-05,0.0379,84.1031
0.796604612,0.0070685,116.000018,5.25E-05,0.0213,97.5969
0.775459885,0.0014315,92.99952394,6.16E-05,0.0223,103.9988
0,0.782421525,176.9995611,6.18E-16,0,88.7015
0,0.519219518,176.9998525,6.39E-16,0,85.5989
0.608746684,0.295086511,130.0000364,4.31E-05,0,76.2942
0.000973244,0.000216,89.00013209,1.90E-08,0,121.22687
0.017361139,0.0015855,152.9993672,2.56E-09,0,93.3497
0.655343377,0.246426007,127.7387691,1.13E-05,0,89.5056
0.290207437,0.0037635,132.0301792,4.36E-07,0,81.0085
0,1.187946146,72.89509525,2.02E-17,0,78.8504
0,0.523503515,67.68986749,4.13E-17,0,100.7692
0.707880504,0.035970501,94.13035616,8.65E-08,0,56.1585
0,0.717750523,137.8183443,2.77E-17,0,54.9173
0.126455465,0.0006605,124.2053041,6.21E-11,0,78.541
0,1.070184535,132.9906777,0.061232248,0,78.7549
0.924069748,0.0169205,93.85279381,2.01E-05,0,102.2988
0.676851298,0.039424501,148.2000558,2.28E-05,0,75.5584
0.399992698,0.210675506,179.8769985,2.17E-06,0,77.271
0,0.780678022,117.4219357,0.103467116,0,88.4862
0,1.813371306,177.6996399,0.086111028,0,79.0021
0,1.252229393,136.5772666,0,0,90.2593
0,0.934173529,128.0322828,2.88E-17,0,72.4775
0,0.016562001,169.7999995,0.098586534,0,0
0.646509098,6.00E-06,91.09183665,3.60E-05,0,105.9723
0.915185569,0.0155985,177.0887247,8.59E-05,0.0459,97.792
0,0.48098702,94.24202276,0.08621657,0,87.0831
0.690406852,0.161042005,161.7883745,4.57E-05,0,99.2903
0.815403613,0.008802,134.1594815,5.19E-05,0,93.4368
0,0.152460505,69.21705077,3.35E-16,0,103.6055
0.682130947,0.068874002,98.10793693,4.60E-05,0.0188,85.4063
0,0.546580517,132.9168907,2.10E-19,0,48.6027
0.85622375,0.37570401,176.3273898,7.10E-06,0,62.3053
0,0.036009501,156.8037161,0.044832702,0,78.136
0,1.161699538,98.65683128,1.79E-18,0,66.39
0,0.0002735,87.9195533,3.10E-16,0,92.9901
0.495258885,0.242463507,88.24469557,2.88E-05,0,85.3377
0.648047604,0.419835513,114.9012963,1.27E-05,0,87.5
0.837505531,0.032118501,178.9371758,1.65E-05,0,74.2856
0,5.70E-32,151.727307,0,0,86.756
0.720695929,0.268698506,87.76853717,1.01E-05,0.0265,68.1134
0,0.420828513,90.93987859,1.74E-16,0,55.0682
0.725820317,0.0023765,90.94525845,4.43E-05,0.0669,62.0395
0,0.935988706,140.1476222,0.078831195,0,68.4505
0,0.700437547,162.9708915,2.42E-17,0,69.3117
0.440619317,0.173498005,92.99654738,4.20E-05,0.0213,70.2005
0.054910673,0.000278,91.99880833,9.73E-07,0,86.1005
0,2.395587132,96.45810873,0.110140481,0,21.316
0,0.038850001,87.12493299,0,0,110.1373
0.850932958,0.071702002,158.2879054,2.92E-05,0.0444,85.1121
0,0.972879531,143.0108025,3.15E-16,0.001,71.2523
0.967636589,0.034902001,175.6994267,6.87E-05,0.0407,101.4259
0.717317212,0.021546,109.0852053,3.85E-05,0.00997,102.3256
0.882905089,0.232586007,144.0307462,4.44E-05,0,88.1039
0.904384393,0.019149501,133.1846547,4.10E-05,4.61E-18,85.89
0,1.048902962,133.8039142,0,0,19.081
